token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
nũxcümaü̃xü̃ i orearü ümatüruxü̃ ,(nũx²cü²ma²ü̃x⁵ü i⁴ o²re²a⁵rü³      ü⁴ma³tü²rux¹ü⁵),, historiador,nũxcümaü̃xü̃ i orearü ümatüruxü̃ (nũx²cü²ma²ü̃x⁵ü i⁴ o²re²a⁵rü³      ü⁴ma³tü²rux¹ü⁵) historiador,,,
nũxcümaü̃xü̃ i Tupanaarü Orearü  uruxü̃ ,(nũx²cü²ma²ü̃x⁵ü̃² i⁴ Tu³pa³na⁵a⁵rü³ O²re²a⁵rü³ u³rux¹ü⁵),,  profeta (bíblico),nũxcümaü̃xü̃ i Tupanaarü Orearü  uruxü̃ (nũx²cü²ma²ü̃x⁵ü̃² i⁴ Tu³pa³na⁵a⁵rü³ O²re²a⁵rü³ u³rux¹ü⁵)  profeta (bíblico),,,
nüechama narübue ,(nü³e⁵cha⁵ma⁵ na²rü³bu³⁵e³),, derrumbarse (por sí      mismo),nüechama narübue (nü³e⁵cha⁵ma⁵ na²rü³bu³⁵e³) derrumbarse (por sí      mismo),,,
nüechamatama puracǘ ̃xü̃ ,(nü³e⁵cha⁵ma⁵ta⁵ma⁵ pu³ra³cüx¹ü̃²),, que      funciona automáticamente,nüechamatama puracǘ ̃xü̃ (nü³e⁵cha⁵ma⁵ta⁵ma⁵ pu³ra³cüx¹ü̃²) que      funciona automáticamente,,,
nügü idaixü̃ ,(nü³gü⁵ i³daix⁴ü²),,"  peleador, combatiente","nügü idaixü̃ (nü³gü⁵ i³daix⁴ü²)  peleador, combatiente",,,
nügü nadiẽruãxẽẽ ,(nü³gü⁵  na²di³ẽ³ru⁵ã̱x⁵ẽ²ẽ³),v. refl., enriquecerse ,"nügü nadiẽruãxẽẽ (nü³gü⁵  na²di³ẽ³ru⁵ã̱x⁵ẽ²ẽ³) v. refl. enriquecerse Yimá taxepataü̃arü yora rü  mea napuracü rü namaxã nanguxü̃ i norü  diẽru rü ngẽmaãcü nügü nadiẽruãxẽẽ El dueño de la tienda administra  bien su negocio y guarda su plata, y así se ha enriquecido.","Yimá taxepataü̃arü yora rü  mea napuracü rü namaxã nanguxü̃ i norü  diẽru rü ngẽmaãcü nügü nadiẽruãxẽẽ\. El dueño de la tienda administra  bien su negocio y guarda su plata, y así se ha enriquecido.",,
nügüãẽgu namaxã nanguxü̃ ,(nü³gü⁵ã¹ẽ⁴gu⁴ na²max²ã³ na²ngux³ü⁵),,    memorizar,nügüãẽgu namaxã nanguxü̃ (nü³gü⁵ã¹ẽ⁴gu⁴ na²max²ã³ na²ngux³ü⁵)    memorizar,,,
nügümaxã inanangüxmüexẽẽ  ,(nü³gü⁵max²ã³  i⁴na²na³ngüx⁵mü⁵ex⁵ẽ²ẽ³),, se han reconciliado  (entre ellos),nügümaxã inanangüxmüexẽẽ  (nü³gü⁵max²ã³  i⁴na²na³ngüx⁵mü⁵ex⁵ẽ²ẽ³) se han reconciliado  (entre ellos),,,
nügümaxã ixunetagüxü̃  ,(nü³gü⁵max²ã³ ix²u³ne²ta³güx¹ü²),,"  comprometidos, prometidos (el uno con el otro)","nügümaxã ixunetagüxü̃  (nü³gü⁵max²ã³ ix²u³ne²ta³güx¹ü²)  comprometidos, prometidos (el uno con el otro)",,,
ngĩmax ,(missing),, ella,ngĩmax (missing) ella,,,
"tümax él, ella ",(alguien de la familia),,,"tümax él, ella (alguien de la familia)",,,
nümaxü̃ i duü̃xü̃gü ,(nü³max⁵ü̃² i⁴ du⁵ü̃x³ü²gü²),, algunaspersonas,nümaxü̃ i duü̃xü̃gü (nü³max⁵ü̃² i⁴ du⁵ü̃x³ü²gü²) algunaspersonas,,,
nüxicatama maxü̃xü̃ ,(nüx³i²ca¹ta⁵ma³ max²ü̃x²ü²),, único sobreviviente,nüxicatama maxü̃xü̃ (nüx³i²ca¹ta⁵ma³ max²ü̃x²ü²) único sobreviviente,,,
nüxicatama namaxü̃ ,(nüx³i²ca¹ta⁵ma³ na²max²ü³),, ser el único    sobreviviente,nüxicatama namaxü̃ (nüx³i²ca¹ta⁵ma³ na²max²ü³) ser el único    sobreviviente,,,
nüxicatama nidexa ,(nüx³i²ca¹ta⁵ma³ ni²dex²a⁵),, ser el único quehabla,nüxicatama nidexa (nüx³i²ca¹ta⁵ma³ ni²dex²a⁵) ser el único quehabla,,,
nüxíraü̃güxü̃ ga duü̃xü̃gü  ,(nüx³⁵i¹ra⁵ü̃⁵güx¹ü̃² ga² du⁵ü̃x³ü²gü²),,  los primitivos,nüxíraü̃güxü̃ ga duü̃xü̃gü  (nüx³⁵i¹ra⁵ü̃⁵güx¹ü̃² ga² du⁵ü̃x³ü²gü²)  los primitivos,,,
nüxna nüxü̃ nadauxẽẽ ,(nüx³na⁵ nüx³ü³̃ na²daux⁴ẽ²ẽ³),, encargar (para    cuidar),nüxna nüxü̃ nadauxẽẽ (nüx³na⁵ nüx³ü³̃ na²daux⁴ẽ²ẽ³) encargar (para    cuidar),,,
nüxna nanachu̱ xu ,(nüx³na⁵  na²na³chu̱ x⁵u³),v.t.," negar, prohibir ","nüxna nanachu̱ xu (nüx³na⁵  na²na³chu̱ x⁵u³) v.t. negar, prohibir Ãẽxgacürü nüxna nanachu̱ xu nax chixexü̃maxã  nataxexü̃. El alcalde le  prohibió vender cosas dañinas.",El alcalde le  prohibió vender cosas dañinas.,,
nüxna nanacuai̱ xca ,(nüx³na⁵ na²na³cuai̱ x̱  ⁵ca⁵),v.t.,"['golpear, azotar ', 'maltratar']","nüxna nanacuai̱ xca (nüx³na⁵ na²na³cuai̱ x̱  ⁵ca⁵) v.t.1.  golpear, azotar Papá rü nüxna nanacuai  xca ga nane yerü tama naga naxĩnü. El padre  azotó a su hijo porque no le había obedecido.2.  maltratar",Papá rü nüxna nanacuai  xca ga nane yerü tama naga naxĩnü. El padre  azotó a su hijo porque no le había obedecido.2.,Papá rü nüxna nanacuai  xca ga nane yerü tama naga naxĩnü.,El padre  azotó a su hijo porque no le había obedecido.2.
nüxna nanai̱ xãchi ,(nüx³na⁵  na²nai̱ ̱x⁵ã²chi²),v.t., abrazar ,"nüxna nanai̱ xãchi (nüx³na⁵  na²nai̱ ̱x⁵ã²chi²) v.t. abrazar Namücü rünüxna nanai̱ x̱ ãchi ga ínanguxü̃wa yerü   nataãẽ. Su amigo lo abrazó cuandollegó, porque le diomucho gusto  verlo.  Véase nüxna napaxãchi","Namücü rünüxna nanai̱ x̱ ãchi ga ínanguxü̃wa yerü   nataãẽ. Su amigo lo abrazó cuandollegó, porque le diomucho gusto  verlo.",Namücü rünüxna nanai̱ x̱ ãchi ga ínanguxü̃wa yerü   nataãẽ.,"Su amigo lo abrazó cuandollegó, porque le diomucho gusto  verlo."
nüxna nanana ,(nüx³na⁵ na²na³na³⁵),,  proveer,nüxna nanana (nüx³na⁵ na²na³na³⁵)  [compl. pl. de nüxna nanaxã] dar; ceder;  proveer,,,
¡Nua naxã! ,(nu¹a⁴ nax³ã³),,ámelo!,¡Nua naxã! (nu¹a⁴ nax³ã³) ¡Dámelo!,,,
nüxna nanaxã i norü ngu̱ xpane  ,(nüx³na⁵ na²nax³ã³ i⁴ no¹⁵rü³  ngu̱ x⁵pa³ne³),, dar certificado (de estudios),nüxna nanaxã i norü ngu̱ xpane  (nüx³na⁵ na²nax³ã³ i⁴ no¹⁵rü³  ngu̱ x⁵pa³ne³) dar certificado (de estudios),,,
nüxna nanaxãmare ,(nüx³na⁵ na²nax³ã³ma³re³),v.t.," obsequiar, regalar ","nüxna nanaxãmare (nüx³na⁵ na²nax³ã³ma³re³)  v.t. obsequiar, regalar Yimá cori rü nüxna nanaxãmare ga norü chapatu.  El hombre le regaló sus zapatos.",Yimá cori rü nüxna nanaxãmare ga norü chapatu.  El hombre le regaló sus zapatos.,Yimá cori rü nüxna nanaxãmare ga norü chapatu.,El hombre le regaló sus zapatos.
nüxrüguma nayaxãũxchitachigü ,(nüx³rü³gu⁵ma²    na²yax³aũx³chi⁵ta²chi⁵gü⁵),, amontonar  aparte,nüxrüguma nayaxãũxchitachigü (nüx³rü³gu⁵ma²    na²yax³aũx³chi⁵ta²chi⁵gü⁵) amontonar  aparte,,,
¡Nüxü̃ irüngüma! ,(nüx³ü³̃ i⁴rü³ngu⁴ma³),,lvídalo!,¡Nüxü̃ irüngüma! (nüx³ü³̃ i⁴rü³ngu⁴ma³) ¡Olvídalo!,,,
nüxü̃ nanawex i nama ,(nüx³ü  na²na³wex̱ ⁵ i⁴ na²ma³),," mostrar (el camino),  encaminar","nüxü̃ nanawex i nama (nüx³ü  na²na³wex̱ ⁵ i⁴ na²ma³) mostrar (el camino),  encaminar",,,
nüxǘ ̃̃ nanawoeguxẽẽ ,(nüx³ü¹  na²na³wo⁵e⁵gux⁵ẽ²ẽ³),v.t., devolver  ,nüxǘ ̃̃ nanawoeguxẽẽ (nüx³ü¹  na²na³wo⁵e⁵gux⁵ẽ²ẽ³) v.t. devolver  (complemento plural) Guma nó ̃̃ rüchawü rü norü cori nüxü  nanawoeguxẽẽ erü tama mea nipagü. El hombre le ha devuelto su maíz  porque no  estaba bien seco.  [compl. sing. nüxǘ ̃̃ nanataeguxẽẽ],Guma nó ̃̃ rüchawü rü norü cori nüxü  nanawoeguxẽẽ erü tama mea nipagü. El hombre le ha devuelto su maíz  porque no  estaba bien seco.  [compl. sing.,Guma nó ̃̃ rüchawü rü norü cori nüxü  nanawoeguxẽẽ erü tama mea nipagü.,El hombre le ha devuelto su maíz  porque no  estaba bien seco.  [compl. sing.
nüxü̃ nanaxãcha ,(nüx³ü³  na²nax³ã²cha⁵),v.t.," hacer daño, dañar ","nüxü̃ nanaxãcha (nüx³ü³  na²nax³ã²cha⁵)  v.t. hacer daño, dañar Ngexrüma i ngẽmaxü̃ nadáuxü̃ erü tá nüxü̃  nanaxãcha. No debe tocar eso porque lo va a dañar.",Ngexrüma i ngẽmaxü̃ nadáuxü̃ erü tá nüxü̃  nanaxãcha. No debe tocar eso porque lo va a dañar.,Ngexrüma i ngẽmaxü̃ nadáuxü̃ erü tá nüxü̃  nanaxãcha.,No debe tocar eso porque lo va a dañar.
nüxü̃ nanaxocáü̃ ,(nüx³ü na²nax⁵o⁵ca¹ü⁵),v.t., molestar ,nüxü̃ nanaxocáü̃ (nüx³ü na²nax⁵o⁵ca¹ü⁵)  v.t. molestar (con ruido) Tama name inanatagaxẽẽ i norü paxetaruxü̃ erü nüxü̃ nanaxocáü̃ i togü i duü̃xü̃gü.  No está bien que ponga su grabadora en alto  volumen porque el ruido molesta a otros.,Tama name inanatagaxẽẽ i norü paxetaruxü̃ erü nüxü̃ nanaxocáü̃ i togü i duü̃xü̃gü.  No está bien que ponga su grabadora en alto  volumen porque el ruido molesta a otros.,Tama name inanatagaxẽẽ i norü paxetaruxü̃ erü nüxü̃ nanaxocáü̃ i togü i duü̃xü̃gü.,No está bien que ponga su grabadora en alto  volumen porque el ruido molesta a otros.
nüxǘ ̃̃ nanaxüétü ,(nüx³ü¹ na²nax³ü²e¹tü³),v.t., añadir ,nüxǘ ̃̃ nanaxüétü (nüx³ü¹ na²nax³ü²e¹tü³)v.t. añadir Tupana rü nüxǘ ̃̃ nanaxüétü ga quince ga taunecü nax namaxü̃xü̃ ga  Echequía. dios añadió  quince años a la vida de Ezequías.,Tupana rü nüxǘ ̃̃ nanaxüétü ga quince ga taunecü nax namaxü̃xü̃ ga\.  Echequía. dios añadió  quince años a la vida de\. Ezequías.,,
nüxǘ ̃̃ nangexma i pora ,(nüx³ü  na²ngẽx⁴ma² i⁴ po⁴ra²),," tener autoridad, tener poder","nüxǘ ̃̃ nangexma i pora (nüx³ü  na²ngẽx⁴ma² i⁴ po⁴ra²) tener autoridad, tener poder",,,
¡Nüxü̃ rüngüma! ,(nüx³ü³ rü³ngü⁴ma³),,lvídalo!,¡Nüxü̃ rüngüma! (nüx³ü³ rü³ngü⁴ma³)  ¡Perdónalo! ¡Olvídalo!,,,
¡Nüxü̃ rüngü̃xẽxẽ! ,(nüx³ü̃³ rü³ngü̃x⁵ẽx²ẽ³),,yúdalo!,¡Nüxü̃ rüngü̃xẽxẽ! (nüx³ü̃³ rü³ngü̃x⁵ẽx²ẽ³) ¡Ayúdalo!,,,
¡Chomaxã nüxü̃ ixu! ,(cho⁵max²ã³ nüx³ü³ ix³u³),,íme!,¡Chomaxã nüxü̃ ixu! (cho⁵max²ã³ nüx³ü³ ix³u³) ¡Díme!,,,
nüxü̃ nixu i chixexü̃ inaxüxü̃ ,(nüx³ü̃³ nix²u³ i⁴ chix⁵ex⁵ü̃²    i⁴nax⁵üx⁴ü²),, confesar,nüxü̃ nixu i chixexü̃ inaxüxü̃ (nüx³ü̃³ nix²u³ i⁴ chix⁵ex⁵ü̃²    i⁴nax⁵üx⁴ü²) confesar,,,
nüxü̃ nixu ya wüxichigü ya namatü  ,(nüx³ü³ nix²u³ ya² wüx²i²chi⁵gü⁵ ya²  na³ma⁴tü²),, deletrear,nüxü̃ nixu ya wüxichigü ya namatü  (nüx³ü³ nix²u³ ya² wüx²i²chi⁵gü⁵ ya²  na³ma⁴tü²) deletrear,,,
nüxü̃ nixu nax aixcüma yixĩxü̃ ,(nüx³ü̃³ nix²u³ nax² aix⁴cü²ma²    yix⁵ĩx⁵ü²),, atestiguar,nüxü̃ nixu nax aixcüma yixĩxü̃ (nüx³ü̃³ nix²u³ nax² aix⁴cü²ma²    yix⁵ĩx⁵ü²) atestiguar,,,
nüxü̃ nixu nax ñuxãcü yixĩxü̃ ,(nüx³ü̃³ nix²u³ nax² ñux³ã⁵cü⁵ yix⁵ĩx⁵ü²),,    describir,nüxü̃ nixu nax ñuxãcü yixĩxü̃ (nüx³ü̃³ nix²u³ nax² ñux³ã⁵cü⁵ yix⁵ĩx⁵ü²)    describir,,,
nüxü̃ nixu rü nangearü chixexü̃ãx̱  ,(nüx³ü̃³ nix²u³ rü⁵ na²nge²a⁵rü³  chix⁵ex⁵ü̃³ã̱x⁵),, absolver (de una mala acción),nüxü̃ nixu rü nangearü chixexü̃ãx̱  (nüx³ü̃³ nix²u³ rü⁵ na²nge²a⁵rü³  chix⁵ex⁵ü̃³ã̱x⁵) absolver (de una mala acción),,,
nüxü̃ nüxü̃ nacuax̱ ẽẽ i popera ,(nüx³ü̃³ nüx³ü̃³ na²cua̱x⁵ẽx²ẽ³ i⁴    po³pe³ra⁵),," alfabetizar, enseñar a leer","nüxü̃ nüxü̃ nacuax̱ ẽẽ i popera (nüx³ü̃³ nüx³ü̃³ na²cua̱x⁵ẽx²ẽ³ i⁴    po³pe³ra⁵) alfabetizar, enseñar a leer",,,
nüxǘ ̃̃ nüxü̃ nangechaü̃ ,(nüx³ü̃¹ nüx³ü  na²nge²chaü⁵),v.t.," perdonar, excusar","nüxǘ ̃̃ nüxü̃ nangechaü̃ (nüx³ü̃¹ nüx³ü  na²nge²chaü⁵) v.t. perdonar, excusar",,,
¡Choxǘ ̃̃ nüxü̃ nangechaxü̃! ,(chox⁵ü̃¹ nüx³ü̃³ na⁵nge²chax⁵ü⁵),,erdóname!,¡Choxǘ ̃̃ nüxü̃ nangechaxü̃! (chox⁵ü̃¹ nüx³ü̃³ na⁵nge²chax⁵ü⁵)      ¡Perdóname!,,,
nüxü̃ nüxü̃ narücuax̱ mae ,(nüx³ü̃³ nüx³ü̃³  na²rü³cuax̱ ⁵ma⁴e³),v.e.," tener más conocimiento, tener más sabiduría  ","nüxü̃ nüxü̃ narücuax̱ mae (nüx³ü̃³ nüx³ü̃³  na²rü³cuax̱ ⁵ma⁴e³) v.e. tener más conocimiento, tener más sabiduría  (que otra persona) Pedru rü Matéuxü̃ nüxü̃  narücuaxmae Pedro tiene más conocimiento que Mateo.",Pedru rü\. Matéuxü̃ nüxü̃  narücuaxmae\. Pedro tiene más conocimiento que\. Mateo.,,
nüxü̃ rücuax̱ maexü̃ ,(nüx³ü̃³  rü³cuax̱ ⁵ma³ex⁵ü²),adj., destacado ,nüxü̃ rücuax̱ maexü̃ (nüx³ü̃³  rü³cuax̱ ⁵ma³ex⁵ü²) adj. destacado Ngẽmabuxü̃ i iscuerawa nüxü̃ rücuax̱ maexü̃ rü tá nanayaxu i norü  ãmare. El estudiante más destacado de la escuela va a recibir su  regalo.,Ngẽmabuxü̃ i iscuerawa nüxü̃ rücuax̱ maexü̃ rü tá nanayaxu i norü  ãmare. El estudiante más destacado de la escuela va a recibir su  regalo.,Ngẽmabuxü̃ i iscuerawa nüxü̃ rücuax̱ maexü̃ rü tá nanayaxu i norü  ãmare.,El estudiante más destacado de la escuela va a recibir su  regalo.
nüxü̃ rüngümawax̱ exü̃ ,(nüx³ü̃³  rü³ngü⁵ma⁵wa̱x⁵ex³ü²),adj., olvidadizo,"nüxü̃ rüngümawax̱ exü̃ (nüx³ü̃³  rü³ngü⁵ma⁵wa̱x⁵ex³ü²) adj. olvidadizoWoo muex̱ pü̱xcüna namaxã nüxü̃  chixuecha natürü nüma rü wüxi i nüxü  rüngümawax̱ exü̃ nixĩ. Aunque lehedicho muchasveces,sinembargo  él es un olvidadizo.","Woo muex̱ pü̱xcüna namaxã nüxü̃  chixuecha natürü nüma rü wüxi i nüxü  rüngümawax̱ exü̃ nixĩ. Aunque lehedicho muchasveces,sinembargo  él es un olvidadizo.",Woo muex̱ pü̱xcüna namaxã nüxü̃  chixuecha natürü nüma rü wüxi i nüxü  rüngümawax̱ exü̃ nixĩ.,"Aunque lehedicho muchasveces,sinembargo  él es un olvidadizo."
ñaxtüchiü̃ ,(ñax⁵tü³chi²ü⁵),," primer piso, planta baja","ñaxtüchiü̃ (ñax⁵tü³chi²ü⁵) primer piso, planta baja",,,
ñomarüta naxãchica ,(ño²ma²rü⁴ta⁵ nax²ã³chi¹ca⁵),, mientras haya    oportunidad,ñomarüta naxãchica (ño²ma²rü⁴ta⁵ nax²ã³chi¹ca⁵) mientras haya    oportunidad,,,
¿Ñuxãcü nüxü̃ naxüpetü? ,(ñux³ã⁵cü⁵ nüx³ü³ nax²ü²pe²tü⁵),,,"¿Ñuxãcü nüxü̃ naxüpetü? (ñux³ã⁵cü⁵ nüx³ü³ nax²ü²pe²tü⁵) ¿Cómo le va?,  ¿Cómo está usted?",,,
ñu̱ xre ínguxuchixü̃ ,(ñu̱ x⁵re²  i¹ngux³u⁵chix³ü²),,,ñu̱ xre ínguxuchixü̃ (ñu̱ x⁵re²  i¹ngux³u⁵chix³ü²) ¿cuántos resultan?,,,
omü i motuarü ,(o⁵mü⁵ i⁴ mo²tu⁵a⁵rü³),,  faro,omü i motuarü (o⁵mü⁵ i⁴ mo²tu⁵a⁵rü³)  faro,,,
omüchinawe ,(o⁵mü⁵chi³na²we³),,  mosquito (atraído por la luz),omüchinawe (o⁵mü⁵chi³na²we³)  mosquito (atraído por la luz),,,
omüpü̱ xü ,(o⁵mü⁵pü̱ x⁵ü³),," foco, bombilla","omüpü̱ xü (o⁵mü⁵pü̱ x⁵ü³) foco, bombilla",,,
õna i dexechitanüxü̃ ,(õ²na⁵ i⁴ dex²e²chi²ta³nüx³ü²),, guiso,õna i dexechitanüxü̃ (õ²na⁵ i⁴ dex²e²chi²ta³nüx³ü²) guiso,,,
õna i taxü̃ ,(õ²na⁵ i⁴ tax⁵ü²),, banquete,õna i taxü̃ (õ²na⁵ i⁴ tax⁵ü²) banquete,,,
ore i mea ngóxü̃ ,(o²re² i⁴ me³a⁵ ngox¹ü²),, mensaje claro,ore i mea ngóxü̃ (o²re² i⁴ me³a⁵ ngox¹ü²) mensaje claro,,,
ore i mexü̃ ,(or²e² i⁴ me³xü²),," buena noticia, evangelio","ore i mexü̃ (or²e² i⁴ me³xü²) buena noticia, evangelio",,,
ore i tama ngóxü̃ ,(o²re² i⁴ ta²ma³ ngox¹ü²),, adivinanza,ore i tama ngóxü̃ (o²re² i⁴ ta²ma³ ngox¹ü²) adivinanza,,,
ore i unagüxü̃ ,(o²re² i⁴ u³na⁵güx¹ü²),,  proclamación,ore i unagüxü̃ (o²re² i⁴ u³na⁵güx¹ü²)  proclamación,,,
ore i nũxcümaü̃xü̃ ,(o²re² i⁴ nũx²cü²ma²ü̃x⁵ü²),," historia, cuento","ore i nũxcümaü̃xü̃ (o²re² i⁴ nũx²cü²ma²ü̃x⁵ü²) historia, cuento",,,
ore i ucu̱ xẽ ,(o²re² i⁴ u³cu̱ x⁵ẽ³),,"  consejo, proverbio","ore i ucu̱ xẽ (o²re² i⁴ u³cu̱ x⁵ẽ³)  consejo, proverbio",,,
ore i ümatüxü̃ ,(o²re² i³⁵ ü⁴ma³tüx⁴ü²),,  palabras escritas,ore i ümatüxü̃ (o²re² i³⁵ ü⁴ma³tüx⁴ü²)  palabras escritas,,,
orearü ngeruxü̃ ,(o²re²a⁵rü³  nge²rux¹ü⁵),," mensajero, chasqui, misionero","orearü ngeruxü̃ (o²re²a⁵rü³  nge²rux¹ü⁵) mensajero, chasqui, misionero",,,
orearü uruü̃chica ,(o²re²a⁵rü³  u³ru¹ü⁵chi¹ca⁵),, púlpito,orearü uruü̃chica (o²re²a⁵rü³  u³ru¹ü⁵chi¹ca⁵) púlpito,,,
orearü uruxü̃ ,(o²re²a⁵rü³ u³rux¹ü⁵),,"  orador, predicador, pastor","orearü uruxü̃ (o²re²a⁵rü³ u³rux¹ü⁵)  orador, predicador, pastor",,,
orearü ümatüruxü̃ ,(o²re²a⁵rü³  ü⁴ma³tü²rux¹ü⁵),,  escribano,"orearü ümatüruxü̃ (o²re²a⁵rü³  ü⁴ma³tü²rux¹ü⁵) escritor, secretario;  escribano",,,
orearü yauxyechigüruxü̃ ,(o²re²a⁵rü³  yaux⁴ye²chi⁵gü⁵rux¹ü⁵),, coma (en una  oración),orearü yauxyechigüruxü̃ (o²re²a⁵rü³  yaux⁴ye²chi⁵gü⁵rux¹ü⁵) coma (en una  oración),,,
dexagüpane ,(dex²a⁵gü²pa³ne³),, libro  (de cuentos),dexagüpane (dex²a⁵gü²pa³ne³) libro  (de cuentos),,,
orix̱ chixü i taixü̃ ,(o⁴rix̱ ⁵chix¹ü⁴ i⁴  taix⁴ü̃²),, curichi (de jugo de fruta),orix̱ chixü i taixü̃ (o⁴rix̱ ⁵chix¹ü⁴ i⁴  taix⁴ü̃²) curichi (de jugo de fruta),,,
ota i caxgu ,(o³ta¹ i⁴ cax⁵gu⁵),, muy temprano  (a la hora que canta el gallo),ota i caxgu (o³ta¹ i⁴ cax⁵gu⁵) muy temprano  (a la hora que canta el gallo),,,
ota i ngexü̃ ,(o³ta¹ i⁴ ngex³ü²),, gallina,ota i ngexü̃ (o³ta¹ i⁴ ngex³ü²) gallina,,,
ota i yatüxü̃ ,(o³ta¹ i⁴ya²tüx³ü³),, gallo,ota i yatüxü̃ (o³ta¹ i⁴ya²tüx³ü³) gallo,,,
otaarü michica ,(o³ta¹a⁵rü³ mi³chi³ca⁵),,  varicela,otaarü michica (o³ta¹a⁵rü³ mi³chi³ca⁵)  varicela,,,
o̱ xi ga nũxcümaxü̃güxü̃ ,(o̱ x⁵i¹ ga² nũx²cü²max²ü⁵güx¹ü²),, antepasados,o̱ xi ga nũxcümaxü̃güxü̃ (o̱ x⁵i¹ ga² nũx²cü²max²ü⁵güx¹ü²) antepasados,,,
õ̱ xmi i íxraxüchixü̃ ,(õ̱ x⁵mi¹ i⁴ ix¹⁵rax³ü¹chix⁴ü²),," gusanito,microbio","õ̱ xmi i íxraxüchixü̃ (õ̱ x⁵mi¹ i⁴ ix¹⁵rax³ü¹chix⁴ü²) gusanito,microbio",,,
o̱ xriarü nai̱ x̱ ruxü̃ ,(o̱ x⁵ri¹a⁵rü³  nai̱ x̱ ⁵rux¹ü⁵),," venda, gasa (para cubrir  heridas)","o̱ xriarü nai̱ x̱ ruxü̃ (o̱ x⁵ri¹a⁵rü³  nai̱ x̱ ⁵rux¹ü⁵) venda, gasa (para cubrir  heridas)",,,
o̱ xri i yixẽẽxü̃ ,(o̱ x⁵ri¹ i⁴yix⁵ẽ²ẽx³ü²),,  gangrena,o̱ xri i yixẽẽxü̃ (o̱ x⁵ri¹ i⁴yix⁵ẽ²ẽx³ü²)  gangrena,,,
nügüxǘ ̃̃ nanagau̱ xẽẽ i o̱ xri ,(nü³güx⁵ü̃¹ na²na³gau̱ ̱x⁵ẽx²ẽ³ i⁴    o̱x⁵ri¹),, calmarse (una herida),nügüxǘ ̃̃ nanagau̱ xẽẽ i o̱ xri (nü³güx⁵ü̃¹ na²na³gau̱ ̱x⁵ẽx²ẽ³ i⁴    o̱x⁵ri¹) calmarse (una herida),,,
õxriarü paxruxü̃ ,(õx¹ri²a⁵rü³ pax³rux¹ü⁵),, violinista,õxriarü paxruxü̃ (õx¹ri²a⁵rü³ pax³rux¹ü⁵) violinista,,,
pacü i taguma yatüxü̃ cuax̱ cü   ,(pa²cü³ i⁴ ta²gu⁴ma³ ya³tüx⁵ü̃³ cua̱x⁵cü³),,"  virgen, doncella","pacü i taguma yatüxü̃ cuax̱ cü   (pa²cü³ i⁴ ta²gu⁴ma³ ya³tüx⁵ü̃³ cua̱x⁵cü³)  virgen, doncella",,,
paiarü ngü̃xẽẽruxü̃ ,(pai³⁵a⁵rü³  ngü̃x⁵ẽẽ²³rux¹ü⁵),, sacristán,paiarü ngü̃xẽẽruxü̃ (pai³⁵a⁵rü³  ngü̃x⁵ẽẽ²³rux¹ü⁵) sacristán,,,
paigüarü ãẽxgacü ,(pai³⁵gü²a⁵rü³ ãẽx  ³⁵ga³cü³),, obispo,paigüarü ãẽxgacü (pai³⁵gü²a⁵rü³ ãẽx  ³⁵ga³cü³) obispo,,,
pãĩẽgawa ,(pãĩ³ẽ³ga³wa⁵),"['s.m.', 's.f.']","[' padrino', ' madrina']",pãĩẽgawa (pãĩ³ẽ³ga³wa⁵)1.  s.m. padrino2.  s.f. madrina,,,
paũ i maixcuraxü̃ ,(paũ²⁵ i⁴ maix⁴cu²rax³ü²),," bizcocho, torta","paũ i maixcuraxü̃ (paũ²⁵ i⁴ maix⁴cu²rax³ü²) bizcocho, torta",,,
paũarü pu̱ xẽẽruxü̃ ,(paũ²⁵a⁵rü³  pu̱ x⁵ẽẽ²³rux¹ü⁵),," levadura,fermento","paũarü pu̱ xẽẽruxü̃ (paũ²⁵a⁵rü³  pu̱ x⁵ẽẽ²³rux¹ü⁵) levadura,fermento",,,
paũarü üruxü̃ ,(paũ²⁵a⁵rü³ ü⁴rux¹ü⁵),,  panadero,paũarü üruxü̃ (paũ²⁵a⁵rü³ ü⁴rux¹ü⁵)  panadero,,,
paũchara i ngearü pu̱xẽẽruü̃ã́ ̃xü̃  ,(paũ²⁵cha³ra⁵ i⁴ nge²a⁵rü³),, missing,paũchara i ngearü pu̱xẽẽruü̃ã́ ̃xü̃  (paũ²⁵cha³ra⁵ i⁴ nge²a⁵rü³) missing,,,
paxaãchi ingucuchixü̃ ,(pax³a⁵ã²chi² i⁴ngu³cu³chix²ü²),,"    autoridadinterina, jefe interino, oficial interino","paxaãchi ingucuchixü̃ (pax³a⁵ã²chi² i⁴ngu³cu³chix²ü²)    autoridadinterina, jefe interino, oficial interino",,,
paxetaarü notagü ,(pax²e⁴ta⁵a⁵rü³  no²ta⁵gü²),," escala musical, notas musicales","paxetaarü notagü (pax²e⁴ta⁵a⁵rü³  no²ta⁵gü²) escala musical, notas musicales",,,
paxetaarü üyechigü ,(pax²e⁴ta⁵a⁵rü³  ü⁴ye²chi⁵gü⁵),, compás demúsica,paxetaarü üyechigü (pax²e⁴ta⁵a⁵rü³  ü⁴ye²chi⁵gü⁵) compás demúsica,,,
